docId,filename,0 man jack men,1 fo faid fee,2 king george great,3 air murder na,4 men king scotland,5 1 ft ii,6 time man 1,7 ye wi ll,8 thou thy thee,9 er wi ye,10 dream good great,11 tom man wife,12 mr time man,13 god lord 1,14 love ll dear
12,104185231.txt,0.07209528167075802,3.645731696899605E-5,1.6697030892775947E-5,0.29872579569922314,0.02616117910093522,0.23505490874293794,0.29109727071785235,3.104161741991552E-5,3.242441472260112E-5,5.55379151008996E-5,0.021378778891068505,0.027443923218266834,0.023612447315039715,1.864327426311656E-5,0.004239613074550053
13,104186738.txt,0.025825995249077416,1.3967283626587315E-4,6.396854886486021E-5,0.05621859190043912,7.4709120445378E-5,0.2678575540728739,1.2258046827879468E-4,0.5460708340672811,1.242222507053389E-4,0.10280776285280871,7.323092825178502E-5,1.0359695455286796E-4,8.112963888676715E-5,7.14248663944881E-5,3.647262448736369E-4
14,104184649.txt,0.008521893184748807,0.0018457164030236037,8.674810962697537E-5,0.0679568228976277,1.0131345927859077E-4,0.2108630526596117,1.662320638668766E-4,0.12107155990960626,0.054826532820100526,0.5336188438635234,9.930887451412406E-5,1.4048841391663504E-4,1.1002036052145455E-4,9.685966385091395E-5,4.946073161824329E-4
15,104184891.txt,1.99960836572627E-4,0.14483480597594675,0.0014500440804355364,4.018596367012328E-5,8.42825484006486E-5,0.15061491540906824,1.3828825970766531E-4,0.004267799173057117,1.4014042455719956E-4,0.0980694069599431,8.261493667721719E-5,1.1687214739257541E-4,9.152580937156687E-5,8.057744118811576E-5,0.5997885800340115
16,104185557.txt,0.3169055612210175,3.960089280979574E-5,1.8136752388799738E-5,1.0099581477506857E-5,0.005561821229903496,0.039584159291993215,0.3141197419771663,0.001072588076566947,0.003844409729861968,6.0326738379037286E-5,0.17801379863306765,0.09525910946739131,0.04434811633130908,2.0250812925843056E-5,0.0011422792637415693
17,104186089.txt,0.4307552364792471,3.905985144521571E-5,0.034856888332366616,9.961597433295464E-6,0.035201450776928156,0.00693681771482685,0.2661085986519677,3.3257547890104905E-5,7.178566919938905E-4,5.950253320240089E-5,0.048521831273880336,0.06424202880620392,0.049207157802413665,0.05193691437784616,0.011373437562354755
18,104184846.txt,0.19380144300109872,4.989961507968756E-5,0.46385983731592006,1.2726107732320436E-5,0.13485794934851217,0.03547907498071427,0.14316564709581459,4.248707500944119E-5,4.437972808635088E-5,7.60154837565265E-5,2.6162532596791937E-5,0.008763953432082437,0.012246703667873214,0.007443418262630277,1.3030235309327042E-4
19,104185580.txt,0.01151370655327459,7.344698542499354E-4,1.8193454282627812E-5,3.575037338674898E-4,2.1248206992936447E-5,0.05811865996412731,3.486341624357924E-5,0.47072366618782374,3.533035967202025E-5,0.016039653907502664,2.0827790670035543E-5,0.44223475546496455,2.3074282631778244E-5,2.0314124119591414E-5,1.0373269957712257E-4
20,104186937.txt,2.268409298488357E-4,1.7875263859746182E-4,8.18666478217589E-5,4.5588033747255165E-5,9.561238078881804E-5,0.052065827509809995,1.5687790647880446E-4,0.06580249162731336,0.12989646189325063,0.5442318726863036,9.372059737535645E-5,1.3258289494269486E-4,0.011045544750431862,9.140920790913612E-5,0.19585455029538046
21,104186923.txt,0.10522679055045794,0.0010272911617874208,4.828237218652406E-5,2.6886387450834098E-5,5.638917285261569E-5,0.06112844622261602,0.06185770992310395,0.024058342765137224,0.11532732104905767,0.025051046556948356,0.18258523282802003,0.16417078295467905,0.040623448464138075,0.07472525728856838,0.14408677230299602
22,104184852.txt,9.299313195445794E-4,0.33255151882883915,2.2704840589485606E-5,1.2643354364198276E-5,0.029505177009149376,0.0716631823462447,4.350841219697273E-5,9.092302065103592E-4,0.42878518933363646,9.425405918986958E-4,2.5992406919991966E-5,3.6770450173071816E-5,0.049448902319790065,2.535136773288602E-5,0.08509735721241006
23,104185594.txt,0.0016388073531128987,1.6365946669529225E-4,7.495414908426766E-5,4.173875893135323E-5,8.75392462575227E-5,0.040513993278848144,1.436317511844529E-4,0.2119451053339981,1.4555548412738866E-4,0.6728757051205854,8.580719761768505E-5,1.2138811516009424E-4,9.506238856720442E-5,8.369097281488033E-5,0.07198336138301535
24,104186512.txt,4.9500159847095105E-5,0.1620580886209137,7.000501631769516E-4,0.021498794679550477,2.086408363588407E-5,0.21226522153321042,0.0017396971799426737,7.153977809294482E-4,0.02220572394241914,5.942134965873948E-5,2.0451267565059306E-5,2.8931615194080897E-5,2.26571476279146E-5,0.5747613222003112,0.0038538782760173377
25,104184305.txt,0.260792860874851,3.892689320913573E-5,0.02384555956561228,9.927688537734827E-6,0.10179927458108236,0.0021476587539506456,0.2696279253246331,3.314434047276447E-5,3.462080685610529E-5,0.031035350935313705,0.11098955904279913,0.08478751742336353,0.07525016317171722,1.9906147973701308E-5,0.03958760444962766
26,104184463.txt,0.003763217882721476,0.09466231847450261,0.012027918851941944,0.05986115419036057,7.318946764127242E-5,0.29232221168637107,1.2008706785809716E-4,1.1650553403333399E-4,0.051572276830487804,2.0844514544454695E-4,7.174134324795079E-5,1.0148969640895542E-4,0.004865579979859657,6.997201836399083E-5,0.4801638918307568
27,104186274.txt,0.38625701018509334,1.2130172129997184E-4,5.555478999222422E-5,3.09360857977387E-5,6.488265828282253E-5,0.10109673279247845,1.0645750596537038E-4,1.0328246667666487E-4,0.06056907926554305,1.8478717742394357E-4,6.359889214554949E-5,8.997088657079316E-5,7.045868837858289E-5,6.2030380916585E-5,0.451123916503435
